,title,media,date,datetime,desc,link,img
54,Frustration and suicide rising among youths,New Age,20-Jun-21,,"According to the Bangladesh Bureau of Statistics, on average, every year 10,000 Bangladeshi people take their lives. Data from newspapers, police and hospitals...",https://www.newagebd.net/article/141238/frustration-and-suicide-rising-among-youths,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
55,"BUET student Fardin died by suicide, concludes police probe",bdnews24.com,06-Feb-23,,"Police have submitted the final report on their investigations into the death of Fardin Noor Parash, nearly two months after concluding that the BUET...",https://bdnews24.com/bangladesh/vcc8m82ifd,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
56,Is suicide becoming an epidemic on social media?,Dhaka Tribune,"ar 21, 2022",,"An 18-year-old girl committed suicide during a video call with her ... Facebook posts–An unnoticed departure of life in Bangladesh,” evaluated suicide cases...",https://www.dhakatribune.com/bangladesh/2022/03/22/is-suicide-becoming-an-epidemic-on-social-media,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
57,DU BCL leader attempts suicide accusing teacher of 'insult',New Age,"ar 3, 2023",,A Dhaka University Chhatra League leader on Thursday reportedly attempted to commit suicide accusing a teacher of insulting him.,https://www.newagebd.net/article/195909/du-bcl-leader-attempts-suicide-accusing-teacher-of-insult,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
58,Wife’s friend arrested over ‘suicide’ of Bangladeshi-American in Dhaka,bdnews24.com,08-May-22,,"Police in Dhaka have arrested a man on charges of instigating the husband of a friend to die by suicide. ... The victim, Sheikh Soheb Sazzad, 44, is a Bangladeshi...",https://bdnews24.com/bangladesh/wifes-friend-arrested-over-suicide-of-bangladeshi-american-in-dhaka,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
59,"Doctors say Natore teacher, who married a college student, died by suicide",bdnews24.com,14-Aug-22,,"Khairun Nahar, a teacher in Natore who caused a stir by marrying a college student, has died by suicide, doctors believe.",https://bdnews24.com/bangladesh/wla1ynmwn6,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
60,"Brazil supporter attempts suicide, Argentina supporter stabbed",New Age,11-Jul-21,,"Bangladesh · Brazil supporter attempts suicide, Argentina supporter stabbed · Related Coverage: · Want stories like this in your inbox? · More Stories from Country...",https://www.newagebd.net/article/143418/brazil-supporter-attempts-suicide-argentina-supporter-stabbed,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
61,BSEC official found dead in Dhaka with a 'suicide note',bdnews24.com,30-May-22,,"The official has been identified as Mehedi Hasan, an assistant director at the Bangladesh Securities and Exchange Commission, or BSEC.",https://bdnews24.com/bangladesh/bsec-official-found-dead-in-dhaka-with-a-suicide-note,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
62,Bangladeshi couple found dead in US after suspected murder-suicide,bdnews24.com,28-Sep-20,,A Bangladeshi-origin couple has been found dead in their home in the US state of Arizona after an apparent murder-suicide. · Police believe the man shot his wife...,https://bdnews24.com/world/bangladeshi-couple-found-dead-in-us-after-suspected-murder-suicide,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
63,Police identify six dead Bangladesh family members in Texas murder-suicide plot,Al Arabiya,"pr 7, 2021",,Authorities have identified six people found dead in a suburban Dallas home in what police said was an apparent murder-suicide plot.,https://english.alarabiya.net/News/world/2021/04/07/Police-identify-six-dead-Bangladesh-family-members-in-Texas-murder-suicide-plot,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
64,"Bangladesh actress, model Loren Mendes commits suicide",Prothom Alo English,25-Apr-22,,Bangladesh actress and model Loren Mendes has committed suicide at her home in Baridhara of the capital. The body of the actress was found hanging from a...,https://en.prothomalo.com/entertainment/movies/bangladesh-actress-model-loren-mendes-commits-suicide,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
65,"Depression, anxiety, stress, and suicidal behavior among ...",Wiley Online Library,"ar 9, 2022",,"The incidence of suicide is higher among Bangladeshi students. Due to the pandemic, students of health/rehabilitation sciences are at the most significant risk.",https://onlinelibrary.wiley.com/doi/abs/10.1002/hsr2.549,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
66,"Countries where euthanasia, assisted suicide is legal",WION,13-May-22,,"Colombia on Thursday became the first Latin American country to authorize assisted medical suicide for patients under a doctor's supervision, according to a...",https://www.wionews.com/photos/countries-where-euthanasia-assisted-suicide-is-legal-281943,"data:image/gif;base64,R0lGODlhAQABAIAAAP///////yH5BAEKAAEALAAAAAABAAEAAAICTAEAOw=="
